Dimensions,4
Normalised,20
evals,41000
key,dist,emissions,time,vehicles,dist,Actualemissions,ActualTime,ActualVehicles,ActualDistMicroDepot: Micro Depot 1,MicroDepot: Micro Depot 2,MicroDepot: Micro Depot 3,MicroDepot: Micro Depot 4,MicroDepot: Micro Depot 5,MicroDepot: Micro Depot 6,MicroDepot: Micro Depot 7,MicroDepot: Micro Depot 8,MicroDepot: Micro Depot 9,MicroDepot: Micro Depot 10,MicroDepot: Micro Depot 11,MicroDepot: Micro Depot 12,MicroDepot: Micro Depot 13,MicroDepot: Micro Depot 14,bike,walk,electric van,
16:12:11:9,2578.30,16,12,11,9,97.26,22.72,6.00,42.07,2,0,0,0,0,0,1,0,0,0,0,2,0,0,1,2,2,
17:15:18:20,2326.16,17,15,18,20,106.07,24.78,9.00,50.40,1,0,0,2,0,1,0,0,0,2,1,1,1,0,6,2,1,
19:17:9:15,1252.23,19,17,9,15,113.98,26.63,5.00,44.94,1,1,0,0,0,0,2,0,1,1,1,0,0,0,4,2,1,
16:13:13:8,1973.26,16,13,13,8,100.29,23.43,7.00,41.49,2,2,0,0,1,0,1,0,1,0,0,0,1,0,3,3,2,
19:17:9:14,1247.41,19,17,9,14,113.07,26.42,5.00,44.26,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,2,1,
19:18:4:9,1091.58,19,18,4,9,116.30,27.17,3.00,42.08,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,1,
19:18:4:8,1041.12,19,18,4,8,116.84,27.30,3.00,41.83,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,
19:17:9:13,1245.83,19,17,9,13,113.64,26.55,5.00,43.76,1,0,0,1,0,0,1,0,0,0,0,0,0,1,3,1,0,
19:18:4:7,1083.60,19,18,4,7,114.64,26.79,3.00,41.01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,
19:17:9:12,1194.38,19,17,9,12,114.19,26.68,5.00,43.30,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,2,1,
