Dimensions,7
Normalised,20
evals,500
key,dist,emissions,MicroDepots,byMD,Bikes,Walkers,EVs,time,ActualEmissions,ActualMD,ActualByMD,ActualBikes,ActualWalkers,ActualEVs,ActualTime,sol
20:9:8:2:1:3:18,10527.68,20,9,8,2,1,3,18,122.92,15.00,37.84,7.00,3.00,10.00,11061262.00,S1C38SC39SC41SC42SC43SC46SC45SC44SC40SC37SC12SC17SC16SC14SC15SC13SC6SC7SC9SC10SC11SC8SC21SC22SC23SC19SC24SC29SC28SC49SC27SC26SC51SC50SC52SC53SC54SC55SC56SC57SC58SC59SC60SC61SC62SC63SD16C71ED16C18BD17C69ED21C25WD21C47WC32WC33WD21C36ED15C65EC1ED15C34ED20C4BC20BD23C31ED25C35ED6C73BD7C2BD4C64WC72WD9C5BD1C66BD18C3BD33C68EC67ED27C74EC70ED27C30EC48E
10:13:20:1:1:6:20,20475.21,10,13,20,1,1,6,20,57.29,22.00,100.00,2.00,3.00,23.00,14186932.00,S1D16C42ED21C70WD15C67BD34C68ED20C69ED22C65EC66ED11C34ED11C40ED9C30ED3C4EC25EC20ED7C64WD5C1EC18ED4C74ED4C48ED4C28EC49EC27EC26EC43EC46EC45EC44EC7EC9EC10EC11EC8EC51EC50EC52EC53EC54EC55EC56EC57EC58EC59EC60EC61EC62EC63ED2C41ED14C71ED1C31EC47ED1C32ED12C29ED24C72ED25C3WD27C39ED26C33ED19C38ED19C5BC23BC24BC19BC21BC22BC2BC12BC17BC16BC15BC13BC14BC6BD35C73ED35C35EC36EC37E
10:14:20:1:1:8:18,24267.65,10,14,20,1,1,8,18,57.73,25.00,100.00,0.00001,1.00,28.00,10808074.00,S1D16C28ED17C37ED13C36ED12C41ED21C18WD22C66ED23C71ED11C4ED11C35ED9C38ED8C74ED3C42ED7C64ED5C47ED4C68ED2C40ED14C1ED1C32ED1C33ED20C67EC69EC73EC65ED24C72ED25C3ED27C29ED26C70ED26C34ED19C39ED35C31ED35C30EC48ED31C26EC27EC49EC12EC17EC16EC14EC15EC13EC6EC7EC9EC10EC11EC8EC5EC25EC20EC19EC2EC21EC22EC23EC24EC43EC46EC45EC44EC51EC50EC52EC53EC54EC55EC56EC57EC58EC59EC60EC61EC62EC63E
2:3:20:1:1:1:19,3328.13,2,3,20,1,1,1,19,12.58,5.00,100.00,0.00001,2.00,3.00,11319834.00,S1D24C72WD23C73EC65EC66EC69EC71ED25C74EC70EC64EC68EC67EC1EC18EC3EC4EC25EC20EC19EC2EC21EC22EC23EC5EC32ED8C33EC34EC35EC36EC37EC38EC39EC41EC42EC40EC46EC44EC12EC17EC16EC14EC15EC13EC6EC7EC9EC10EC11EC8EC24EC28EC49EC27EC26EC51EC50EC52EC53EC54EC55EC56EC57EC58EC59EC60EC61EC62EC63ED18C31WC47WC30WC48WC29WC43WC45W
15:2:12:1:1:1:20,2682.68,15,2,12,1,1,1,20,87.73,3.00,58.11,1.00,1.00,2.00,12054387.00,S1C38SC39SC41SC42SC43SC46SC45SC44SC40SC12SC14SC6SC7SC9SC10SC11SC8SC51SC50SC52SC53SC54SC55SC56SC57SC58SC59SC60SC61SC62SC63SD25C73EC65EC66EC69EC71ED8C64BC74BC70BD8C24WC17WC16WC15WC13WD14C68EC67EC72EC1EC18EC3EC4EC25EC20EC19EC2EC21EC22EC23EC5EC32EC31EC47EC30EC48EC29EC28EC49EC27EC26EC33EC34EC35EC36EC37E
14:3:16:1:1:1:4,2826.82,14,3,16,1,1,1,4,81.74,6.00,78.38,3.00,1.00,2.00,4600618.00,S1C51SC50SC52SC53SC54SC55SC56SC57SC58SC59SC60SC61SC62SC63SC24SC8SD17C69EC71EC66EC68ED24C65BD11C73BD25C74BC70BD3C64WC72WD1C67EC1EC18EC3EC4EC25EC20EC19EC2EC21EC22EC23EC5EC32EC31EC47EC30EC48EC29EC28EC49EC27EC26EC33EC34EC35EC36EC37EC38EC39EC41EC42EC43EC46EC45EC44EC40EC12EC17EC16EC14EC15EC13EC6EC7EC9EC10EC11E
2:3:20:1:1:1:20,2848.47,2,3,20,1,1,1,20,13.93,5.00,100.00,3.00,1.00,2.00,13093058.00,S1D17C72EC64EC68EC67EC1EC18EC3EC4EC25EC20EC19EC2EC21EC22EC23EC5EC32EC31EC47EC30EC48EC29EC28EC49EC27EC26EC33EC34EC35EC36ED21C38BC39BC40BC41BC42BC43BC45BC46BC57BC58BC59BC60BC56BC55BC54BC53BC52BC50BC51BD12C9WC10WC44WC61WC63WC62WD12C37BC24BC12BC17BC16BC15BC13BC14BC6BC11BC7BC8BD10C74BC70BD25C73EC65EC66EC69EC71E
14:3:16:1:1:1:5,2791.24,14,3,16,1,1,1,5,82.35,5.00,79.73,3.00,0.00001,2.00,5017121.00,S1C51SC50SC52SC53SC54SC55SC56SC57SC58SC59SC60SC61SC62SC63SC24SD18C68EC67EC69ED14C71BC72BC65BD8C64BC74BC70BD28C66EC1EC18EC3EC4EC25EC20EC19EC2EC21EC22EC23EC5EC32EC31EC47EC30EC48EC29EC28EC49EC27EC26EC33EC34EC35EC36EC37EC38EC39EC41EC42EC43EC46EC45EC44EC40EC12EC17EC16EC14EC15EC13EC6EC7EC9EC10EC11EC8ED22C73B
15:3:12:1:1:2:2,5823.02,15,3,12,1,1,2,2,89.26,5.00,60.81,1.00,1.00,6.00,4016585.00,S1C46SC45SC44SC12SC17SC16SC14SC15SC13SC6SC7SC9SC10SC11SC8SC51SC50SC52SC53SC54SC55SC56SC57SC58SC59SC60SC61SC62SC63SD16C40ED11C72WD11C74ED10C73ED10C24BD3C70EC65EC66EC69EC71ED14C64ED14C68EC67EC1EC18EC3EC4EC25EC20EC19EC2EC21EC22EC23EC5EC32EC31EC47EC30EC48EC29EC28EC49EC27EC26EC33EC34EC35EC36EC37EC38EC39EC41EC42EC43E
18:3:5:1:1:2:6,6259.58,18,3,5,1,1,2,6,102.78,6.00,25.68,0.00001,0.00001,7.00,5465575.00,S1C31SC47SC32SC33SC34SC35SC36SC37SC38SC39SC41SC42SC43SC46SC45SC44SC40SC30SC48SC29SC28SC49SC27SC26SC12SC17SC16SC14SC15SC13SC6SC7SC9SC10SC11SC8SC5SC24SC21SC22SC23SC51SC50SC52SC53SC54SC55SC56SC57SC58SC59SC60SC61SC62SC63SD16C69ED24C72ED10C70ED9C73ED8C74ED14C64ED14C68EC67EC71EC65EC66EC1EC18EC3EC4EC25EC20EC19EC2E
