key,dist,emissions,MicroDepots,byMD,Bikes,Walkers,EVs,time,ActualEmissions,ActualMD,ActualByMD,ActualBikes,ActualWalkers,ActualEVs,ActualTime,sol
16:6:12:3:1:1:6,2395.86,16,6,12,3,1,1,6,58.37,10.00,61.40,8.00,1.00,1.00,3465695.00,S1C33SC36SC53SC41SC39SC40SC45SC46SC47SC5SC4SC42SC43SC44SC37SC38SC7SC8SC9SC13SC14SC12SD16C25EC23EC10EC22EC55EC57EC20EC21EC11EC54ED13C1BC35BD21C50BD15C2BC49BD22C28BC26BC24BD10C52BC51BC56BD2C31BC30BC29BC27BD14C15BC16BC17BC18BC19BD1C34WC48WD18C3BC32BC6B
19:5:7:1:1:1:9,2089.25,19,5,7,1,1,1,9,69.93,8.00,36.84,4.00,3.00,1.00,4343253.00,S1C1SC34SC48SC53SC41SC39SC40SC45SC46SC42SC43SC44SC37SC38SC7SC16SC17SC18SC19SC20SC55SC57SC10SC22SC11SC54SC51SC52SC56SC8SC9SC13SC14SC12SC15SC21SD17C50BD13C35WD21C47WC5WC4WD23C27EC25EC2EC49EC3EC32EC6EC33EC36ED26C23WD7C24BD4C26BD2C31BC30BC29BC28B
8:3:17:1:1:1:2,3317.67,8,3,17,1,1,1,2,27.35,6.00,85.96,3.00,1.00,3.00,2495110.00,S1C15SC8SC9SC13SC14SC12SC21SC54SD19C38BC7BC16BC17BC18BC19BC20BC55BC57BC10BC22BD30C45EC46EC47EC5EC34EC48EC3EC32EC6EC33EC36EC53EC41ED3C52BC51BC56BD10C11WD11C24EC26EC25EC23EC28EC27EC30EC31EC50EC29ED11C35EC2EC49EC4EC42EC43EC39EC40EC44EC37ED1C1B
8:3:17:1:1:1:3,3508.57,8,3,17,1,1,1,3,29.81,6.00,84.21,4.00,2.00,3.00,2718412.00,S1C54SC51SC52SC8SC9SC13SC14SC12SC21SD20C31EC30EC29EC28EC27EC25EC23EC50EC2ED21C47WC5WC4WD11C24BC26BD28C11WD14C3EC32EC6EC33EC36EC53EC41EC39ED14C15BC16BC17BC18BC19BC20BC55BC57BC10BC22BC56BD18C1BC35BC49BD18C34BC48BC38BC37BD18C42EC43EC40EC45EC46EC44EC7E
19:5:7:1:1:1:5,2802.68,19,5,7,1,1,1,5,67.47,8.00,33.33,4.00,3.00,2.00,3389465.00,S1C2SC49SC6SC4SC5SC34SC48SC47SC42SC43SC50SC10SC22SC55SC57SC20SC21SC54SC8SC9SC13SC14SC12SC15SC16SC17SC18SC19SC45SC46SC53SC41SC39SC40SC44SC37SC7SC1SD34C33BC3BC32BD17C31BC30BC29BC28BD16C35WD11C24BC26BD11C23BC52BC51BC56BD10C11WD25C25ED27C27ED32C38WC36W
19:5:7:1:1:1:6,1348.92,19,5,7,1,1,1,6,68.77,8.00,35.09,4.00,4.00,0.00001,3546000.00,S1C2SC49SC3SC32SC6SC33SC4SC5SC34SC48SC47SC42SC43SC50SC25SC11SC54SC51SC52SC56SC8SC9SC13SC14SC12SC15SC16SC21SC45SC46SC53SC41SC39SC40SC44SC37SC7SD20C31BC30BC29BC28BD11C24BC26BD9C27WD27C23WD29C17BC18BC19BC20BC55BC57BC10BC22BD18C1BD1C35WD31C38WC36W
8:3:17:1:1:1:1,3218.79,8,3,17,1,1,1,1,28.34,5.00,85.96,2.00,1.00,3.00,1680157.00,S1C8SC9SC51SC52SC21SC11SC54SC13SD16C48EC4EC5EC47EC42EC43EC40EC45ED17C15BC16BC17BC18BC19BC20BC55BC57BC10BC22BC56BD17C46BC38BC37BC7BC44BC14BC12BD13C50EC31EC30EC29EC28EC27EC26EC24EC25EC23ED15C35WC34WD1C1EC2EC49EC3EC32EC6EC33EC36EC53EC41EC39E
18:3:10:1:2:1:6,2562.17,18,3,10,1,2,1,6,65.25,6.00,50.88,0.00001,6.00,2.00,3599799.00,S1C50SC31SC30SC29SC25SC23SC55SC57SC20SC21SC11SC54SC13SC14SC12SC45SC46SC42SC43SC34SC48SC1SC35SC40SC44SC37SC38SC7SD22C28WD25C27WD29C8EC9EC51EC52EC56EC10EC22EC24EC26ED29C19WD29C16WC17WC18WD20C47WC5WC4WD19C2EC49EC3EC32EC6EC33EC36EC53EC41EC39ED35C15W
19:5:7:1:1:1:7,2036.32,19,5,7,1,1,1,7,67.67,8.00,36.84,3.00,4.00,1.00,3726400.00,S1C10SC54SC55SC57SC20SC21SC51SC52SC56SC8SC9SC13SC14SC12SC15SC16SC17SC18SC19SC45SC46SC42SC43SC33SC36SC53SC41SC39SC40SC44SC34SC48SC1SC37SC38SC7SD17C35WD13C31BC30BC29BD10C27WD23C28BC26BC24BD6C22WC11WD4C25EC50EC2EC49EC3EC32EC6ED28C23BD20C47WC5WC4W
19:5:7:1:1:1:8,2030.46,19,5,7,1,1,1,8,67.93,8.00,35.09,3.00,4.00,1.00,3971373.00,S1C2SC49SC3SC32SC6SC33SC36SC53SC41SC39SC40SC45SC46SC47SC5SC34SC48SC4SC42SC43SC10SC54SC55SC57SC20SC21SC8SC9SC13SC14SC12SC15SC19SC44SC37SC38SC7SD21C31WD16C1BD13C35WD27C26EC25EC23EC28EC27EC30EC29EC50ED26C22WC11WD7C24BD4C52BC51BC56BD29C16WC17WC18W
